id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
89,36,0,10,4,3,1,0,0,5,5,5,6,5,4,5,6,5,5,5,5,6,6,5,5,5,5,5,5,4,5,6,6,5,5,5,5,5,5,5,6,5,4,5,5,5,6,5,5,5,4,4,4,4,4,3,4,5,4,4
90,40,0,13,13,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
91,43,0,18,7,7,1,0,0,7,7,7,7,7,6,4,5,5,7,5,5,4,5,5,5,5,5,5,7,7,7,7,7,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5
92,47,0,25,7,3,1,0,0,6,7,7,4,7,4,5,5,5,5,6,5,3,5,3,3,3,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6
93,35,0,7,7,1,1,0,0,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7
94,47,0,18,5,4,1,0,0,7,6,7,7,7,7,5,5,7,5,5,5,6,5,5,5,4,3,7,6,6,7,7,5,6,4,3,2,6,2,6,6,6,4,5,6,5,6,6,6,6,6,1,2,1,5,5,4,4,7,6
95,31,0,4,3,6,1,0,0,7,4,6,6,7,2,4,6,4,4,2,2,4,5,2,7,3,5,6,7,6,6,6,6,7,1,1,5,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3,2,2,2,1,1,1,1,1
96,34,1,10,3,3,1,0,0,6,6,7,6,6,5,5,7,5,7,3,2,1,5,4,2,1,6,5,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,4,4,4,4,6,6
97,37,1,3,10,5,0,0,1,4,4,5,5,5,4,3,4,5,5,4,3,3,4,4,4,5,3,4,5,5,5,5,5,4,4,4,4,5,4,4,3,3,3,3,3,4,5,4,4,5,4,4,4,3,3,3,3,1,3,3
98,56,0,26,21,5,1,0,0,6,4,5,6,7,7,5,7,7,6,5,5,6,6,6,7,5,5,6,6,6,7,7,6,7,7,6,6,7,7,6,5,6,4,3,6,7,7,7,6,7,5,5,5,3,7,7,7,6,3,5
99,34,0,8,8,1,1,0,1,6,3,4,4,4,2,2,3,4,4,5,2,2,5,4,5,3,5,7,7,6,6,6,6,4,5,3,5,7,3,2,1,1,1,1,1,3,5,4,5,6,6,6,6,7,1,1,1,1,1,2
100,60,0,36,10,4,0,0,0,6,4,6,3,3,5,2,6,5,4,3,3,2,6,6,4,5,4,5,4,5,5,5,5,4,4,4,3,5,3,5,6,5,6,6,7,6,7,7,5,7,4,7,6,6,6,4,6,2,6,6
101,32,0,9,6,2,1,0,1,4,5,6,6,6,5,5,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4,6,6,6,6,6,5,6,5,5,6,5,4,5,6,4,5,6,5,5,6
102,47,0,30,22,4,0,0,0,7,5,6,4,5,4,3,3,3,4,2,1,1,1,1,2,2,1,6,7,7,7,6,6,7,6,5,5,5,6,4,6,4,4,5,4,4,4,4,3,3,4,6,5,6,2,2,2,5,1,2
103,43,0,15,7,3,0,0,0,5,6,5,6,5,4,5,5,5,5,6,5,6,6,6,5,6,6,7,6,6,6,6,7,6,6,5,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,5,5,4,5,5,4,5
104,35,1,14,3,3,0,0,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,1,4,7,7,7,7,4,4,7,1,1,1
105,34,1,7,7,1,1,0,1,7,6,7,7,7,7,6,7,5,5,7,6,2,5,5,5,6,5,7,7,7,7,7,7,6,6,3,3,7,6,7,6,7,5,5,6,6,7,7,7,7,4,3,3,2,5,5,3,3,7,4
106,35,1,18,17,2,0,0,1,7,5,7,7,5,7,3,3,7,7,2,2,1,2,3,1,6,7,6,7,7,6,7,5,2,4,4,3,7,2,7,4,5,6,5,5,7,7,7,7,7,7,7,7,7,2,1,1,1,1,3
107,42,1,15,3,3,1,0,0,7,7,7,7,7,7,5,7,7,7,7,4,6,5,6,6,3,6,7,7,7,7,7,7,7,6,6,7,7,7,6,4,6,4,4,4,4,3,3,3,2,4,7,7,7,3,3,4,3,3,5
108,51,0,25,23,3,1,0,0,5,6,6,7,7,7,4,4,5,7,6,5,5,7,6,6,6,4,4,7,6,6,6,3,5,3,4,3,7,4,6,4,5,3,4,6,6,6,4,4,2,6,6,6,6,4,5,2,3,4,6
109,42,1,16,4,5,1,0,1,6,4,6,4,6,4,5,4,6,5,7,4,7,4,6,5,4,4,6,6,6,6,6,5,6,6,3,3,5,4,5,5,4,4,5,5,4,5,3,5,5,4,5,4,3,2,2,2,2,4,2
110,30,1,7,7,1,0,0,0,7,6,6,6,7,5,3,4,4,4,4,3,1,5,4,5,3,4,7,7,7,7,7,7,7,6,6,6,7,7,6,7,6,7,6,6,6,6,5,6,6,7,4,2,2,6,6,6,7,6,6
111,26,1,7,4,3,1,0,1,7,6,7,6,7,7,6,7,7,7,7,5,2,7,5,5,5,7,6,7,7,7,7,7,6,6,6,7,7,7,1,3,4,1,1,3,1,3,1,1,1,1,6,6,6,2,1,1,1,1,1
112,34,1,10,9,3,1,0,0,7,5,6,7,6,4,2,6,6,6,2,2,2,6,3,2,2,6,6,6,6,6,6,6,4,4,4,6,6,4,6,2,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
113,25,1,5,3,4,0,1,0,6,3,6,5,6,5,7,5,6,6,4,4,1,4,5,3,4,4,6,6,6,5,5,4,4,5,4,4,5,5,6,6,6,6,6,6,6,4,4,4,4,5,6,5,6,5,3,3,2,2,5
114,43,1,17,17,1,1,0,1,7,7,6,6,6,6,6,6,6,6,4,4,4,6,6,6,4,7,6,6,6,6,6,6,6,6,6,6,6,6,4,3,5,3,2,4,5,6,6,6,6,6,7,7,7,2,1,2,2,3,3
115,49,1,25,13,1,0,0,0,7,7,7,7,7,6,6,6,6,6,6,4,2,6,6,4,1,6,6,7,7,7,7,7,7,7,5,7,7,7,7,5,7,7,7,4,5,5,4,5,7,6,5,5,5,1,5,1,1,5,5
116,43,0,14,5,2,1,0,1,6,4,6,4,4,3,4,6,5,6,6,2,2,2,2,4,6,1,6,6,6,6,6,5,4,3,5,7,7,3,1,7,5,3,1,7,3,3,1,1,1,1,1,1,1,3,2,2,2,7,7
117,30,1,8,9,4,0,0,1,7,4,5,6,5,4,3,4,3,2,3,4,2,5,4,3,1,1,6,7,6,7,7,6,5,7,6,4,7,5,6,7,5,1,3,4,7,7,4,3,6,1,4,2,2,3,2,4,1,1,1
118,43,0,23,12,3,1,0,0,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
119,40,1,25,6,4,0,0,1,7,7,7,6,7,7,5,7,7,7,3,1,1,1,1,3,1,1,7,7,7,7,7,7,2,1,1,7,7,1,7,7,7,7,7,7,7,7,4,4,1,3,1,1,1,1,1,1,1,7,1
120,54,0,37,37,1,0,0,0,7,5,7,5,6,5,4,4,4,4,5,4,3,5,4,5,3,4,7,7,7,7,7,7,4,4,3,4,6,3,7,6,6,6,7,7,7,7,7,6,6,4,4,4,3,3,3,3,3,7,6
121,47,0,12,9,5,1,0,0,7,7,7,7,7,6,3,6,6,6,6,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,5,5,4,3,2,3,2,2,1,5,4
122,31,1,6,3,2,1,0,1,6,7,7,7,7,7,6,7,7,7,7,5,5,7,4,6,2,5,6,7,7,7,7,7,7,6,4,6,7,1,4,7,6,7,7,7,4,5,7,6,7,5,2,1,2,7,7,7,7,6,2
123,46,0,18,16,3,1,0,1,6,3,5,4,4,3,1,1,1,3,4,3,1,5,5,5,4,6,5,5,7,7,6,6,5,6,4,4,6,6,6,5,6,5,3,3,5,5,5,6,7,7,5,6,7,3,3,1,1,1,1
124,37,0,14,4,3,1,0,0,6,5,6,7,6,4,3,4,3,3,6,3,7,4,4,5,2,4,4,5,6,6,6,6,6,6,6,6,6,4,2,2,4,3,3,3,3,3,5,5,4,4,6,4,6,3,2,2,2,2,2
125,50,0,31,31,2,0,0,0,6,4,4,6,6,7,4,5,7,7,6,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,4,4,2,5,5,5,5,6,7
126,45,0,21,20,2,0,1,1,7,5,6,4,6,4,2,5,5,5,6,4,7,6,6,6,7,4,5,7,7,7,7,7,7,4,4,5,6,5,6,5,5,4,3,4,4,5,6,4,5,5,4,4,4,2,2,4,1,4,3
127,26,1,3,3,1,1,0,1,7,7,7,7,7,6,4,7,6,6,2,2,2,5,5,5,7,5,7,7,7,7,7,7,6,3,3,2,5,2,7,6,6,6,6,5,7,7,7,6,6,7,6,6,1,6,6,6,4,6,6
128,30,1,7,5,2,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,6,5,6,6,6,5,5,7,6,6,6,5,3,6,5,6,5,7,5
129,42,0,20,12,3,1,0,0,7,5,5,4,6,5,2,5,6,6,1,1,1,4,1,1,3,3,7,7,7,7,7,7,7,6,5,5,7,5,7,6,6,5,5,5,5,6,5,5,5,4,5,5,5,2,4,4,4,5,5
130,37,1,9,3,12,0,0,1,6,4,7,6,6,4,3,7,7,7,4,2,1,3,2,4,4,3,7,7,7,7,7,7,6,2,3,4,6,4,5,3,5,5,6,6,2,5,2,5,6,6,6,3,6,2,1,1,1,1,1
131,37,1,14,12,3,1,0,0,7,5,6,5,5,5,6,6,6,5,6,4,4,5,5,5,5,5,5,6,6,5,6,4,5,6,6,6,6,6,4,4,4,6,6,6,4,5,4,4,5,4,6,5,5,4,4,4,4,4,4
132,39,0,12,7,4,1,0,0,7,5,6,5,7,5,5,7,7,7,7,3,3,4,4,6,4,4,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
133,31,0,7,4,3,0,0,1,6,5,5,6,4,5,6,5,5,4,5,6,7,6,5,6,7,6,6,6,7,6,5,6,7,6,5,6,7,6,5,6,7,6,6,7,6,5,6,7,6,5,5,6,6,6,5,6,7,6,6
134,35,1,12,5,3,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
135,41,1,19,19,1,0,0,1,7,5,7,5,5,7,7,7,7,6,7,4,4,6,5,7,4,7,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,2,2,2,4,6,2,4,6,6
136,47,1,15,7,5,1,0,0,6,6,6,7,7,7,6,2,7,7,2,2,1,5,3,4,6,6,5,5,5,5,5,5,2,2,2,2,3,2,7,7,6,6,6,7,6,6,6,4,2,2,2,2,2,5,2,1,4,5,5
137,44,0,18,10,6,1,0,1,7,7,6,5,7,5,4,6,7,7,4,2,2,5,3,3,6,4,4,5,6,6,6,6,5,6,5,7,6,5,3,3,4,2,3,3,5,3,2,6,2,7,6,6,6,2,2,2,2,1,1
138,37,0,9,9,1,0,0,0,7,6,6,6,6,6,2,4,5,5,6,3,2,5,5,5,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,3,4,6,2,3,3,4,5,3,5,4,6,6,6,3,5,2
139,28,0,4,4,1,1,0,1,6,6,6,6,6,7,5,6,7,6,5,4,4,6,4,4,3,7,5,6,6,6,6,6,6,6,5,5,6,5,5,4,6,6,4,5,3,3,3,4,3,4,5,3,5,2,2,2,2,1,6
140,36,1,11,2,5,1,0,1,7,5,6,5,6,5,4,5,5,5,6,4,5,5,4,4,4,5,7,7,7,7,7,7,7,7,5,5,7,6,6,5,5,4,4,5,5,5,5,5,5,4,2,2,2,5,4,3,4,4,4
141,31,0,6,6,3,0,0,0,5,4,6,5,6,5,4,5,4,4,6,6,3,6,5,6,3,4,6,5,6,6,6,5,4,5,4,4,6,5,7,4,6,5,6,6,7,4,4,7,7,5,1,1,1,3,3,2,2,5,3
142,39,0,19,19,1,1,0,1,6,6,7,6,6,5,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
143,40,1,18,11,2,1,0,0,7,5,5,6,5,5,4,5,5,5,7,5,7,5,5,7,5,4,6,6,6,6,6,6,6,5,4,3,6,5,6,6,5,5,4,5,4,6,6,6,6,6,6,6,5,3,3,3,3,3,3
144,32,1,3,1,4,0,0,0,7,6,7,7,7,6,5,5,6,6,5,6,6,6,5,6,4,6,5,6,6,6,6,6,5,3,4,5,6,6,4,6,6,6,5,6,4,3,4,3,4,2,5,3,4,2,2,2,2,4,2
145,30,0,10,10,1,0,0,0,6,7,7,6,7,6,3,5,4,6,3,1,1,3,3,1,1,4,6,7,7,7,7,7,5,3,2,6,7,2,6,1,5,3,1,5,2,6,5,2,6,7,3,2,3,1,1,1,1,1,1
146,35,0,9,8,2,1,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,4,7,7,7,7,7,7,6,6,6,7,7,7,7,7,5,5,5,1,7,7,5,5,7,6
147,35,0,9,8,2,1,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,4,7,7,7,7,7,7,6,6,6,7,7,7,7,7,5,5,5,1,7,7,5,5,7,6
148,51,0,20,4,10,1,0,1,6,5,6,6,6,6,6,6,6,6,3,2,4,3,3,4,3,7,6,6,5,5,5,4,6,6,4,3,5,5,3,3,3,3,3,3,2,2,2,2,2,3,6,6,6,1,1,1,1,1,1
149,42,1,12,3,3,1,0,1,7,7,7,7,7,7,7,7,7,7,5,1,1,4,2,1,1,7,7,7,7,7,7,3,4,4,2,5,5,2,7,7,7,7,7,7,7,7,7,7,7,7,5,2,2,6,6,6,5,4,6
150,30,0,6,4,2,1,0,0,7,6,6,6,6,6,4,6,5,7,6,3,5,4,4,4,6,4,7,6,6,6,6,4,5,5,3,3,6,7,6,6,6,6,6,6,6,5,6,5,4,5,3,4,1,3,6,5,4,6,6
151,35,1,13,4,4,1,0,0,6,4,6,5,7,6,7,5,7,6,6,7,4,7,4,6,5,7,5,7,7,5,5,7,7,6,6,4,7,5,5,6,5,3,4,6,6,5,5,4,6,6,5,7,7,4,4,5,3,4,4
152,43,0,22,2,3,0,0,0,6,6,6,7,6,5,3,6,6,6,6,5,1,6,5,4,2,7,4,6,6,6,6,6,5,6,5,5,6,3,5,6,6,4,4,6,6,6,5,5,4,4,2,2,2,6,5,5,6,6,5
153,49,1,25,6,6,0,1,0,7,5,6,6,6,6,5,6,6,6,5,5,4,4,5,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,5,6,5,4,3,5,5,2,2,2,2,3,7,6,4,2,3,2,2,3,3
154,50,0,15,6,5,0,0,0,6,4,6,4,6,6,5,6,5,6,5,1,1,1,2,1,1,2,4,6,6,6,6,6,5,4,3,6,6,1,6,5,4,4,4,6,5,6,6,6,6,5,6,6,5,4,5,4,4,4,5
155,27,1,5,3,4,1,0,0,6,5,7,6,5,4,4,5,4,4,6,2,2,5,5,4,4,5,7,7,7,7,7,6,5,6,4,6,7,4,1,1,3,4,1,3,2,5,4,2,2,6,7,6,6,4,6,5,4,3,5
156,29,0,3,3,1,0,0,1,5,5,6,5,5,4,4,5,5,5,3,2,1,2,2,2,3,4,6,5,6,6,6,6,6,6,6,6,6,6,3,2,2,4,3,3,3,2,2,4,2,3,4,4,4,2,2,2,2,2,2
157,42,0,22,10,2,1,0,1,7,7,7,7,7,7,7,7,7,7,7,5,1,4,4,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,3,5,4,4,5,4,1,1,1,1,1,1,4,4,5,1,1,1,1,1,1
158,28,1,8,6,3,1,0,0,5,5,5,5,6,6,6,7,7,7,7,5,3,7,5,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,4,2,5,7,5,6,4,6,5,5,5,5,5,5,5,6,6,6,6,6,6
159,52,0,32,30,2,1,0,1,6,6,7,5,5,4,6,6,7,5,3,1,1,1,3,6,2,1,6,7,7,7,7,6,4,2,1,5,7,3,7,7,7,6,6,7,5,5,4,4,2,2,2,2,1,1,1,1,1,4,4
160,38,0,12,4,4,1,0,1,6,5,6,5,6,5,4,5,5,5,4,4,5,6,4,6,3,6,5,5,5,6,6,5,6,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,4,4,6,6,6,4,4,4,4,4,4
161,33,1,11,11,1,1,0,0,7,5,7,7,7,7,6,7,7,7,7,1,1,5,6,6,5,7,7,7,7,7,7,7,7,7,5,5,7,5,5,7,5,5,7,7,1,7,7,4,7,7,7,7,7,1,1,1,1,7,7
162,35,0,9,7,3,0,0,1,6,6,7,6,5,5,6,4,6,6,5,5,6,6,7,6,5,5,4,5,5,5,6,5,6,5,6,6,6,5,5,5,6,7,7,6,5,5,4,5,6,6,5,5,4,4,5,5,4,6,5
163,28,1,7,4,8,0,0,1,7,5,4,6,6,6,3,4,4,4,6,2,1,5,5,5,3,3,4,5,5,5,5,6,5,3,4,6,5,1,6,6,5,4,4,5,6,6,7,6,4,5,3,6,1,5,3,3,1,3,3
164,36,1,8,7,2,0,0,0,7,6,6,7,6,6,4,6,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,6,6,5,5,5,5,6,6,6,5,5,5
165,34,1,11,11,2,1,0,1,6,6,5,6,6,5,4,6,5,4,5,4,4,5,4,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,4,5,3,4,5,5,3,5,5,4,4,5,5
